* IconID;Description;Color;IconClass;Nation;Chassis;IconStyle
BNB71;TACAM T-60 (mod. PT275);winter/white;SPAT (track);WW2 All Nations;T-40/60;Pat
BNB72;TACAM T-60 (mod. PT275);brown;SPAT (track);WW2 All Nations;T-40/60;Pat
BNB73;TACAM T-60 (mod. PT275);green;SPAT (track);WW2 All Nations;T-40/60;Pat
BNB74;TACAM T-60 (mod. PT275);sand;SPAT (track);WW2 All Nations;T-40/60;Pat
BNB75;SdKfz 251/1 SPW (mod. PA171);brown;APC (half-track);WW2 All Nations;SdKfz 11;Pat
BNB76;SdKfz 251/1 SPW (mod. PA171);green;APC (half-track);WW2 All Nations;SdKfz 11;Pat
BNB77;Mercedes-Benz L 3000 + 37 mm FlaK 36 (mod. PA847);winter/white;SPAD (4 wheels);WW2 All Nations;L 3000;Pat
BNB78;Mercedes-Benz L 3000 + 37 mm FlaK 36 (mod. PA847);brown;SPAD (4 wheels);WW2 All Nations;L 3000;Pat
BNB79;Mercedes-Benz L 3000 + 37 mm FlaK 36 (mod. PA847);sand;SPAD (4 wheels);WW2 All Nations;L 3000;Pat
BNB80;Mercedes-Benz L 3000 + 37 mm FlaK 36 (mod. PA847);panzergrau;SPAD (4 wheels);WW2 All Nations;L 3000;Pat
BNB81;37 mm FlaK 43 auf SdKfz 4 Gleisketten LKW Maultier 2 t (mod. PA351);brown;SPAD (half-track);WW2 All Nations;Opel Blitz;Pat
BNB82;37 mm FlaK 43 auf SdKfz 4 Gleisketten LKW Maultier 2 t (mod. PA351);green;SPAD (half-track);WW2 All Nations;Opel Blitz;Pat
BNB83;Renault VdC R 35 - 45 mm (mod. RC84);winter/white;Tank;WW2 Romania;Char R 35/40;Pat
BNB84;Renault VdC R 35 - 45 mm (mod. RC84);brown;Tank;WW2 Romania;Char R 35/40;Pat
BNB85;Renault VdC R 35 - 45 mm (mod. RC84);green;Tank;WW2 Romania;Char R 35/40;Pat
BNB86;Flakpanzer IV (37 mm FlaK 37) Mobelwagen (SdKfz 161/3) (mod. PA309);winter/white;SPAD (track);WW2 All Nations;Pz IV;Pat
BNB87;Flakpanzer IV (37 mm FlaK 37) Mobelwagen (SdKfz 161/3) (mod. PA309);brown;SPAD (track);WW2 All Nations;Pz IV;Pat
BNB88;Flakpanzer IV (37 mm FlaK 37) Mobelwagen (SdKfz 161/3) (mod. PA309);green;SPAD (track);WW2 All Nations;Pz IV;Pat
BNB89;StuG III Ausf. F/8 (SdKfz 142/1) (mod. PA857);winter/white;SPAT (track);WW2 All Nations;Pz III;Pat
BNB90;StuG III Ausf. F/8 (SdKfz 142/1) (mod. PA857);brown;SPAT (track);WW2 All Nations;Pz III;Pat
BNB91;StuG III Ausf. F/8 (SdKfz 142/1) (mod. PA857);green;SPAT (track);WW2 All Nations;Pz III;Pat
BNB92;StuG III Ausf. F/8 (SdKfz 142/1) (mod. PA857);winter/white;SPAT (track);WW2 Germany;Pz III;Pat
BNB93;PzKw IV Ausf. F2 (SdKfz 161/1) (mod. PA293);winter/white;Tank;WW2 All Nations;Pz IV;Pat
BNB94;PzKw IV Ausf. F2 (SdKfz 161/1) (mod. PA293);brown;Tank;WW2 All Nations;Pz IV;Pat
BNB95;PzKw IV Ausf. F2 (SdKfz 161/1) (mod. PA293);green;Tank;WW2 All Nations;Pz IV;Pat
BNB96;PzKw IV Ausf. F2 (SdKfz 161/1) (mod. PA293);winter/white;Tank;WW2 Germany;Pz IV;Pat
BNB97;GAZ-AA (mod. ZYE80);winter/white;TPT (4 wheels);WW2 All Nations;GAZ-AA;Juankar
BNB98;Krupp 75 mm FK 02/04 (mod. LE004);winter/white;Towed Arty;WW1 / WW2 All Nations;;Pat
BNB99;GAZ-AAA (mod. ZYE81);winter/white;TPT (6 wheels);WW2 All Nations;GAZ-AA;Juankar
BNC01;ZiS-6 (mod. ZYF47);winter/white;TPT (6 wheels);WW2 All Nations;ZIS-5;Juankar
BNC02;PzKw V Panther Ausf. F (SdKfz 171) (mod. PA828);winter/white;Tank;WW2 All Nations;Pz V;Pat
BNC03;PzKw V Panther Ausf. F (SdKfz 171) (mod. PA828);brown;Tank;WW2 All Nations;Pz V;Pat
BNC04;PzKw V Panther Ausf. F (SdKfz 171) (mod. PA828);green;Tank;WW2 All Nations;Pz V;Pat
BNC05;PzKw V Panther Ausf. D (SdKfz 171) (mod. PT438);winter/white;Tank;WW2 All Nations;Pz V;Pat
BNC06;PzKw V Panther Ausf. D (SdKfz 171) (mod. PT438);green/brown;Tank;WW2 All Nations;Pz V;Pat
BNC07;PzKw V Panther Ausf. D (SdKfz 171) (mod. PT438);brown;Tank;WW2 All Nations;Pz V;Pat
BNC08;PzKw V Panther II (mod. PA370);winter/white;Tank;WW2 All Nations;Pz V;Pat
BNC09;PzKw V Panther II (mod. PA370);brown;Tank;WW2 All Nations;Pz V;Pat
BNC10;PzKw V Panther II (mod. PA370);green;Tank;WW2 All Nations;Pz V;Pat
BNC11;PzKw V Panther II (mod. PA370);sand;Tank;WW2 All Nations;Pz V;Pat
BNC12;SdKfz 231 (6-Rad) sPSW (mod. PA446);winter/white;Armored Car (6 wheels);WW2 All Nations;SdKfz 231/6;Pat
BNC13;SdKfz 231 (6-Rad) sPSW (mod. PA446);brown;Armored Car (6 wheels);WW2 All Nations;SdKfz 231/6;Pat
BNC14;SdKfz 231 (6-Rad) sPSW (mod. PA446);green;Armored Car (6 wheels);WW2 All Nations;SdKfz 231/6;Pat
BNC15;SdKfz 231 (6-Rad) sPSW (mod. PA446);sand;Armored Car (6 wheels);WW2 All Nations;SdKfz 231/6;Pat
BNC16;SdKfz 233 sPSW (mod. PA374);winter/white;Armored Car (8 wheels);WW2 All Nations;SdKfz 231/8;Pat
BNC17;SdKfz 233 sPSW (mod. PA374);brown;Armored Car (8 wheels);WW2 All Nations;SdKfz 231/8;Pat
BNC18;SdKfz 233 sPSW (mod. PA374);green;Armored Car (8 wheels);WW2 All Nations;SdKfz 231/8;Pat
BNC19;SdKfz 233 sPSW (mod. PA374);sand;Armored Car (8 wheels);WW2 All Nations;SdKfz 231/8;Pat
BNC20;SdKfz 234/1 sPSW (mod. PA901);winter/white;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC21;SdKfz 234/1 sPSW (mod. PA901);brown;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC22;SdKfz 234/1 sPSW (mod. PA901);green;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC23;SdKfz 234/2 sPSW Puma (mod. CLU09);winter/white;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC24;SdKfz 234/2 sPSW Puma (mod. CLU09);brown;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC25;SdKfz 234/2 sPSW Puma (mod. CLU09);green;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC26;SdKfz 234/2 sPSW Puma (mod. CLU09);sand;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC27;SdKfz 234/3 sPSW (mod. PA897);winter/white;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC28;SdKfz 234/3 sPSW (mod. PA897);brown;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC29;SdKfz 234/3 sPSW (mod. PA897);green;Armored Car (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC30;SdKfz 221 lePSW (mod. PA433);winter/white;Armored Car (4 wheels);WW2 All Nations;SdKfz 221;Pat
BNC31;SdKfz 221 lePSW (mod. PA433);brown;Armored Car (4 wheels);WW2 All Nations;SdKfz 221;Pat
BNC32;SdKfz 221 lePSW (mod. PA433);green;Armored Car (4 wheels);WW2 All Nations;SdKfz 221;Pat
BNC33;SdKfz 221 lePSW (mod. PA433);sand/olive;Armored Car (4 wheels);WW2 All Nations;SdKfz 221;Pat
BNC34;SdKfz 234/4 sPSW (mod. PA903);winter/white;Armored Car / SPAT (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC35;SdKfz 234/4 sPSW (mod. PA903);brown;Armored Car / SPAT (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC36;SdKfz 234/4 sPSW (mod. PA903);green;Armored Car / SPAT (8 wheels);WW2 All Nations;SdKfz 234;Pat
BNC37;SdKfz 250/10 leSPW + 37 mm PaK 36 (mod. PA332);winter/white;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BNC38;SdKfz 250/10 leSPW + 37 mm PaK 36 (mod. PA332);brown;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BNC39;SdKfz 250/10 leSPW + 37 mm PaK 36 (mod. PA332);green;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BNC40;SdKfz 250/10 leSPW + 37 mm PaK 36 (mod. PA332);sand;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BNC41;SdKfz 231 (8-Rad) sPSW (mod. ZYA79);winter/white;Armored Car (8 wheels);WW2 Germany;SdKfz 231/8;Pat
BNC42;Kfz 14 Funkkraftwagen (mod. ZYB98);brown;Command Armored Car (4 wheels);WW2 All Nations;;Pat
BNC43;Kfz 14 Funkkraftwagen (mod. ZYB98);green;Command Armored Car (4 wheels);WW2 All Nations;;Pat
BNC44;Kfz 14 Funkkraftwagen (mod. ZYB98);sand;Command Armored Car (4 wheels);WW2 All Nations;;Pat
BNC45;PzKw II Leopard (VK 1602 - 50 mm KwK 39) + Radio (mod. PT444);winter/white;Tank;WW2 All Nations;Pz II;Pat
BNC46;PzKw II Leopard (VK 1602 - 50 mm KwK 39) + Radio (mod. PT444);brown;Tank;WW2 All Nations;Pz II;Pat
BNC47;PzKw II Leopard (VK 1602 - 50 mm KwK 39) + Radio (mod. PT444);green;Tank;WW2 All Nations;Pz II;Pat
BNC48;Krupp L 2 H 43 Protze (Kfz 70) (open) (mod. TDZ92);panzergrau;TPT (6 wheels);WW2 All Nations;Protze;Pat
BNC49;PzBefWg II Ausf. D (mod. SB83);brown;Command Tank;WW2 All Nations;Pz II;Pat
BNC50;PzBefWg II Ausf. D (mod. SB83);green;Command Tank;WW2 All Nations;Pz II;Pat
BNC51;PzBefWg II Ausf. D (mod. SB83);sand;Command Tank;WW2 All Nations;Pz II;Pat
BNC52;YaG-6 (mod. ZYF62);brown;TPT (4 wheels);WW2 All Nations;YaG-6;Juankar
BNC53;YaG-6 (mod. ZYF62);sand;TPT (4 wheels);WW2 All Nations;YaG-6;Juankar
BNC54;Maior General 1940 (HQ Command Infantry x3) + Radio (mod. LE168);;HQ Infantry;WW2 Portugal;;Obsolete
BNC55;81 mm M936 Mortar + Crew (x2) 1940 (mod. TDK07);;Mortar Infantry;WW2 Portugal;;Obsolete
BNC56;Pontoneiros 1940 (Bridging Infantry x3) (mod. JK456);blue;Bridging Infantry;WW2 Portugal;;Obsolete
BNC57;Engenheiros / Sapadores 1940 (Assault Engineers x3) (mod. JK446);blue;Engineer Infantry;WW2 Portugal;;Obsolete
BNC58;Infantaria 1940 (Infantry x3) (mod. JKQ08);;Regular Infantry;WW2 Portugal;;Obsolete
BNC59;Entrincheirado de Infantaria 1940 (Entrenched Infantry x3) (mod. JK217);;Entrenched Infantry;WW2 Portugal;;Obsolete
BNC60;Cavalaria 1940 (Cavalry x3) (mod. JKJ99);;Cavalry;WW2 Portugal;Horse;Obsolete
BNC61;7.92 mm m/938 Breda (M37) 1940 (MG Infantry x2) (mod. JK486);;MG Infantry;WW2 Portugal;;Obsolete
BNC62;Mule Pack 1940 (x1) (mod. JKQ23);;TPT Animal Pack;WW2 Portugal;Mule;Juankar
BNC63;Guards 1940 (Elite Infantry x3) + Sword (mod. JK480);;Elite Infantry;WW2 Portugal;;Obsolete
BNC64;Infantaria 1940 (Infantry x3) + Backpack (mod. JKQ09);;Regular Infantry;WW2 Portugal;;Obsolete
BNC65;Infantaria 1936 (Infantry x3) (mod. JKQ08);;Regular Infantry;WW2 Portugal;;Obsolete
BNC66;Maior General 1936 (HQ Command Infantry x3) + Radio (mod. LE168);;HQ Infantry;WW2 Portugal;;Obsolete
BNC67;Entrincheirado de Infantaria (Entrenched Infantry x3) (mod. JK217);;Entrenched Infantry;WW2 Portugal;;Obsolete
BNC68;Mule Pack 1936 (x1) (mod. JKQ23);;TPT Animal Pack;WW2 Portugal;Mule;Juankar
BNC69;Cavalaria (Cavalry x3) (mod. JKJ99);;Cavalry;WW2 Portugal;Horse;Obsolete
BNC70;81 mm M936 Mortar + Crew (x2) 1936 (mod. TDK07);;Mortar Infantry;WW2 Portugal;;Obsolete
BNC71;7.92 mm m/938 Breda (M37) 1938 (MG Infantry x2) (mod. JK486);;MG Infantry;WW2 Portugal;;Obsolete
BNC72;Pontoneiros 1936 (Bridging Infantry x3) (mod. JK456);blue;Bridging Infantry;WW2 Portugal;;Obsolete
BNC73;Engenheiros / Sapadores 1936 (Assault Engineers x3) (mod. JK446);blue;Engineer Infantry;WW2 Portugal;;Obsolete
BNC74;Guards 1936 (Elite Infantry x3) + Sword (mod. JK480);;Elite Infantry;WW2 Portugal;;Obsolete
BNC75;Ciclistas (Bicycle x3) (mod. JKK01);grey;Cyclist;WW2 Portugal;Bicycle;Obsolete
BNC76;Cacadores (Light Infantry x3) (mod. JK443);;Regular Infantry;WW2 Portugal;;Obsolete
BNC77;Cavalaria Ligeira (Light Cavalry x2) (mod. JKJ91);;Cavalry (chevau-leger);WW2 Portugal;Horse;Obsolete
BNC78;Junkers Ju 52/3m (mod. PA673);grey;ATP (propeller);WW2 Portugal;Ju 52;Pat
BNC79;Junkers Ju 86 K (mod. PA632);blue;Medium Bomber;WW2 Portugal;Ju 86;Pat
BNC80;Breda Ba.65 (mod. BN713);green;Attack Plane (propeller);WW2 Portugal;Ba.65;Pat
BNC81;Bristol Blenheim Mk IV (mod. JK046);green/camo;Light Bomber (propeller);WW2 Portugal;Blenheim;Default
BNC82;Potez Po.25 (mod. FZ122);olive/brown;Recon Plane (biplane);WW2 Portugal;Po.25;Pat
BNC83;Potez Po.25 (mod. FZ122);olive/brown;Recon Plane (biplane);WW2 All Nations;Po.25;Pat
BNC84;Hawker Hurricane Mk I (mod. BN977);green;Fighter (propeller);WW2 Portugal;Hurricane;Pat
BNC85;Bristol Blenheim Mk IV (mod. JK046);green/camo;Light Bomber (propeller);WW2 All Nations;Blenheim;Default
BNC86;Hawker Osprey (mod. V162);green;Recon Plane (biplane);WW2 Portugal;Hart;Pat
BNC87;Gloster Gladiator Mk IA (mod. BN711);green;Fighter (biplane);WW2 Portugal;Gladiator;Pat
BNC88;Supermarine Spitfire Mk V (mod. PA537);grey/green;Fighter (propeller);WW2 Portugal;Spitfire;Pat
BNC89;Bell P-39 Airacobra (mod. MMP21);green;Fighter (propeller);WW2 Portugal;P-39;Obsolete
BNC90;Hussards (Light Cavalry x2);olive;Cavalry (hussar);WW2 France;Horse;Default
BNC91;Nemzetor 1944 (Militia Infantry x3);khaki;Militia Infantry;WW2 Hungary;;Default
BNC92;Valentine Mk I (mod. PT036);brown;Tank;WW2 All Nations;;Pat
BNC93;Humber Mk IV (mod. JC353);brown;Armored Car (4 wheels);WW2 All Nations;Guy Quad;Pat
BNC94;Humber Mk IV (mod. JC353);sand;Armored Car (4 wheels);WW2 All Nations;Guy Quad;Pat
BNC95;Type 5 Ho-Ri II;sand;SPAT (track);WW2 All Nations;Type 4 Chi-To;Pat
BNC96;Type 5 Ho-Ri II;brown;SPAT (track);WW2 All Nations;Type 4 Chi-To;Pat
BNC97;Type 5 Ho-Ri II;green;SPAT (track);WW2 All Nations;Type 4 Chi-To;Pat
BNC98;Type 5 Ho-Ri II;winter/white;SPAT (track);WW2 All Nations;Type 4 Chi-To;Pat
BNC99;SdKfz 11 Zugkraftwagen 3t (open) (mod. TDZ46);brown;TPT (half-track);WW2 All Nations;SdKfz 11;Pat
BND01;Hotchkiss 25 mm Mitrailleuse modele 1939 + wheels / ground combat (mod. PT219);brown;Towed AT;WW2 All Nations;;Pat
BND02;T-34-85 (mod. JRL2);sand;Tank;WW2 All Nations;T-34;Pat
BND03;Panzerjager I - 47 mm PaK 36(t) (mod. PA922);winter/white;SPAT (track);WW2 All Nations;Pz I;Pat
BND04;Panzerjager I - 47 mm PaK 36(t) (mod. PA922);brown;SPAT (track);WW2 All Nations;Pz I;Pat
BND05;Panzerjager I - 47 mm PaK 36(t) (mod. PA922);green;SPAT (track);WW2 All Nations;Pz I;Pat
BND06;Panzerjager I - 47 mm PaK 36(t) (mod. PA922);sand;SPAT (track);WW2 All Nations;Pz I;Pat
BND07;SdKfz 6/3 Diana - 76.2 mm FK 36(r) auf Zugkraftwagen 5t (mod. PAT78);winter/white;SPAT (half-track);WW2 All Nations;SdKfz 6;Pat
BND08;SdKfz 6/3 Diana - 76.2 mm FK 36(r) auf Zugkraftwagen 5t (mod. PAT78);brown;SPAT (half-track);WW2 All Nations;SdKfz 6;Pat
BND09;SdKfz 6/3 Diana - 76.2 mm FK 36(r) auf Zugkraftwagen 5t (mod. PAT78);green;SPAT (half-track);WW2 All Nations;SdKfz 6;Pat
BND10;SdKfz 6/3 Diana - 76.2 mm FK 36(r) auf Zugkraftwagen 5t (mod. PAT78);sand;SPAT (half-track);WW2 All Nations;SdKfz 6;Pat
BND11;Flammpanzer II Flamingo (PzKw II Ausf. E + Flamethrower) (SdKfz 122) (mod. PAT80);winter/white;Engineer Vehicle;WW2 All Nations;Pz II;Pat
BND12;Flammpanzer II Flamingo (PzKw II Ausf. E + Flamethrower) (SdKfz 122) (mod. PAT80);brown;Engineer Vehicle;WW2 All Nations;Pz II;Pat
BND13;Flammpanzer II Flamingo (PzKw II Ausf. E + Flamethrower) (SdKfz 122) (mod. PAT80);green;Engineer Vehicle;WW2 All Nations;Pz II;Pat
BND14;Semovente Ansaldo da 75/18 M42 (mod. PA392);winter/white;SPAT (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BND15;Semovente Ansaldo da 75/18 M42 (mod. PA392);brown;SPAT (track);WW2 All Nations;M11/M15 Carro Medio;Pat
BND16;SdKfz 250/9 leSPW + 20 mm FlaK 30 (mod. PA437);winter/white;Armored Car (half-track);WW2 All Nations;SdKfz 10;Pat
BND17;SdKfz 250/9 leSPW + 20 mm FlaK 30 (mod. PA437);brown;Armored Car (half-track);WW2 All Nations;SdKfz 10;Pat
BND18;SdKfz 250/9 leSPW + 20 mm FlaK 30 (mod. PA437);green;Armored Car (half-track);WW2 All Nations;SdKfz 10;Pat
BND19;SdKfz 250/9 leSPW + 20 mm FlaK 30 (mod. PA437);sand;Armored Car (half-track);WW2 All Nations;SdKfz 10;Pat
BND20;88 mm FlaK 18 auf SdKfz 8 / ground combat (mod. PA321);winter/white;SPAT (half-track);WW2 All Nations;SdKfz 8;Pat
BND21;88 mm FlaK 18 auf SdKfz 8 / ground combat (mod. PA321);brown;SPAT (half-track);WW2 All Nations;SdKfz 8;Pat
BND22;88 mm FlaK 18 auf SdKfz 8 / ground combat (mod. PA321);green;SPAT (half-track);WW2 All Nations;SdKfz 8;Pat
BND23;37 mm PaK 36 auf SdKfz 10 Zugkraftwagen 1t (mod. PA365);winter/white;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BND24;37 mm PaK 36 auf SdKfz 10 Zugkraftwagen 1t (mod. PA365);brown;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BND25;37 mm PaK 36 auf SdKfz 10 Zugkraftwagen 1t (mod. PA365);green;SPAT (half-track);WW2 All Nations;SdKfz 10;Pat
BND26;SdKfz 250/3-I leichter Funkpanzerwagen (mod. PA169);panzergrau;Command APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND27;SdKfz 250/3-III leichter Funkpanzerwagen (mod. ZYB27);winter/white;Command APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND28;SdKfz 250/3-III leichter Funkpanzerwagen (mod. ZYB27);brown;Command APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND29;SdKfz 250/3-III leichter Funkpanzerwagen (mod. ZYB27);green;Command APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND30;SdKfz 250/3-III leichter Funkpanzerwagen (mod. ZYB27);sand;Command APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND31;SdKfz 250/1 leSPW (mod. ASF18);winter/white;APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND32;SdKfz 250/1 leSPW (mod. ASF18);brown;APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND33;SdKfz 250/1 leSPW (mod. ASF18);green;APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND34;SdKfz 250/1 leSPW (mod. ASF18);sand;APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND35;SdKfz 250/3-III leichter Funkpanzerwagen (mod. ZYB27);grey;Command APC (half-track);WW2 All Nations;SdKfz 10;Pat
BND36;Sturmpanzer VI Sturmtiger - 380 mm Sturmmorser RW61 (mod. PA891);winter/white;SPArty (track);WW2 All Nations;Pz VI E;Pat
BND37;Sturmpanzer VI Sturmtiger - 380 mm Sturmmorser RW61 (mod. PA891);brown;SPArty (track);WW2 All Nations;Pz VI E;Pat
BND38;Sturmpanzer VI Sturmtiger - 380 mm Sturmmorser RW61 (mod. PA891);green;SPArty (track);WW2 All Nations;Pz VI E;Pat
BND39;Sturmpanzer VI Sturmtiger - 380 mm Sturmmorser RW61 (mod. PA891);sand;SPArty (track);WW2 All Nations;Pz VI E;Pat
BND40;Sturmpanzer II Bison - 150 mm sIG 33 (Sf) auf Fahrgestell PzKw II (mod. PA345);winter/white;SPArty (track);WW2 All Nations;Pz II;Pat
BND41;Sturmpanzer II Bison - 150 mm sIG 33 (Sf) auf Fahrgestell PzKw II (mod. PA345);brown;SPArty (track);WW2 All Nations;Pz II;Pat
BND42;Sturmpanzer II Bison - 150 mm sIG 33 (Sf) auf Fahrgestell PzKw II (mod. PA345);green;SPArty (track);WW2 All Nations;Pz II;Pat
BND43;Sturmpanzer I Bison - 150 mm sIG 33 (Sf) auf GW I (mod. PA921);winter/white;SPArty (track);WW2 All Nations;Pz I;Pat
BND44;Sturmpanzer I Bison - 150 mm sIG 33 (Sf) auf GW I (mod. PA921);brown;SPArty (track);WW2 All Nations;Pz I;Pat
BND45;Sturmpanzer I Bison - 150 mm sIG 33 (Sf) auf GW I (mod. PA921);green;SPArty (track);WW2 All Nations;Pz I;Pat
BND46;Sturmpanzer I Bison - 150 mm sIG 33 (Sf) auf GW I (mod. PA921);sand;SPArty (track);WW2 All Nations;Pz I;Pat
BND47;SdKfz 4/1 Panzerwerfer 42 - 150 mm NbWf 42 auf Gleisketten LKW Maultier 2 t (mod. PA160);winter/white;SPArty (missile) (half-track);WW2 All Nations;Opel Blitz;Pat
BND48;SdKfz 4/1 Panzerwerfer 42 - 150 mm NbWf 42 auf Gleisketten LKW Maultier 2 t (mod. PA160);brown;SPArty (missile) (half-track);WW2 All Nations;Opel Blitz;Pat
BND49;SdKfz 4/1 Panzerwerfer 42 - 150 mm NbWf 42 auf Gleisketten LKW Maultier 2 t (mod. PA160);green;SPArty (missile) (half-track);WW2 All Nations;Opel Blitz;Pat
BND50;SdKfz 4/1 Panzerwerfer 42 - 150 mm NbWf 42 auf Gleisketten LKW Maultier 2 t (mod. PA160);sand;SPArty (missile) (half-track);WW2 All Nations;Opel Blitz;Pat
BND51;105 mm leFH 18 (Sf) auf GW 39H(f) (mod. UB212);winter/white;SPArty (track);WW2 All Nations;Char H 35/39;Pat
BND52;105 mm leFH 18 (Sf) auf GW 39H(f) (mod. UB212);brown;SPArty (track);WW2 All Nations;Char H 35/39;Pat
BND53;105 mm leFH 18 (Sf) auf GW 39H(f) (mod. UB212);green;SPArty (track);WW2 All Nations;Char H 35/39;Pat
BND54;105 mm leFH 18 (Sf) auf GW 39H(f) (mod. UB212);sand;SPArty (track);WW2 All Nations;Char H 35/39;Pat
BND55;105 mm leFH 18 (Sf) auf GW 39H(f) (mod. UB212);grey;SPArty (track);WW2 All Nations;Char H 35/39;Pat
BND56;Flakpanzer IV (30 mm MK 103) Kugelblitz (mod. PA355);winter/white;SPAD (track);WW2 All Nations;Pz IV;Pat
BND57;Flakpanzer IV (30 mm MK 103) Kugelblitz (mod. PA355);brown;SPAD (track);WW2 All Nations;Pz IV;Pat
BND58;Flakpanzer IV (30 mm MK 103) Kugelblitz (mod. PA355);green;SPAD (track);WW2 All Nations;Pz IV;Pat
BND59;PzKw II Ausf. A / C / F (SdKfz 121) (mod. PA137);winter/white;Tank;WW2 All Nations;Pz II;Pat
BND60;PzKw II Ausf. A / C / F (SdKfz 121) (mod. PA137);brown;Tank;WW2 All Nations;Pz II;Pat
BND61;PzKw II Ausf. A / C / F (SdKfz 121) (mod. PA137);green;Tank;WW2 All Nations;Pz II;Pat
BND62;PzKw II Ausf. A / C / F (SdKfz 121) (mod. PA137);winter/white;Tank;WW2 Germany;Pz II;Pat
BND63;PzKw II Ausf. D (SdKfz 121) (mod. PA819);winter/white;Tank;WW2 All Nations;Pz II;Pat
BND64;PzKw II Ausf. D (SdKfz 121) (mod. PA819);brown;Tank;WW2 All Nations;Pz II;Pat
BND65;PzKw II Ausf. D (SdKfz 121) (mod. PA819);green;Tank;WW2 All Nations;Pz II;Pat
BND66;44M Tas (prototype) (mod. TDZ48);winter/white;Tank;WW2 All Nations;Tas;Pat
BND67;44M Tas (prototype) (mod. TDZ48);brown;Tank;WW2 Hungary;Tas;Pat
BND68;44M Tas (prototype) (mod. TDZ48);green;Tank;WW2 Hungary;Tas;Pat
BND69;PzBefWg I (SdKfz 265) (mod. ZYA85);winter/white;Command Tank;WW2 Germany;Pz I;Pat
BND70;PzBefWg I (SdKfz 265) (mod. ZYA85);sand;Command Tank;WW2 Germany;Pz I;Pat
BND71;45M Arpad (prototype) (mod. TDZ47);winter/white;SPAT (track);WW2 All Nations;Tas;Pat
BND72;45M Arpad (prototype) (mod. TDZ47);brown;SPAT (track);WW2 All Nations;Tas;Pat
BND73;45M Arpad (prototype) (mod. TDZ47);green;SPAT (track);WW2 All Nations;Tas;Pat
BND74;Vickers 6-ton Mk E Type B - 37 mm Bofors (mod. PT283);panzergrau;Tank;WW2 All Nations;Vickers 6T / T-26;Pat
BND75;Vickers LT Mk VI (mod. PT075);winter/white;Tank;WW2 All Nations;Vickers LT;Pat
BND76;Vickers LT Mk VI (mod. PT075);sand;Tank;WW2 All Nations;Vickers LT;Pat
BND77;A10 Cruiser Mk II (mod. PT037);panzergrau;Tank;WW2 All Nations;Valentine;Pat
BND78;A11 Matilda Mk I (mod. PT073);panzergrau;Tank;WW2 All Nations;IT Mk I (A11);Pat
BND79;Partizanskaya Kavaleriya (Cavalry x3) (mod. JKU63);;Cavalry;WW2 USSR (Soviet Union);Horse;Obsolete
BND80;Partizansky Viuchny (Mule Pack x1) (mod. JKZ41);;TPT Animal Pack;WW2 USSR (Soviet Union);Mule;Juankar
BND81;Partizany 1941 (Militia Infantry x3);winter;Militia Infantry;WW2 USSR (Soviet Union);;Default
BND82;Partizanskaya Kavaleriya / Konny Transport (Horse Transport / Light Cavalry x2) (mod. JKU65);;Cavalry (chevau-leger);WW2 USSR (Soviet Union);Horse;Obsolete
BND83;Partizany 1941 (Militia Infantry x3);khaki/brown/grey;Militia Infantry;WW2 USSR (Soviet Union);;Default
BND84;Partizany + 8 mm Hotchkiss modele 1914 (MG Infantry x2) (mod. JKZ42);;MG Infantry;WW2 USSR (Soviet Union);;Obsolete
BND85;Partizansky Generalny Shtab / Komandovaniye (HQ Command Infantry x3) + Radio;khaki/brown/grey;HQ Infantry;WW2 USSR (Soviet Union);;Default
BND87;Parizansky 82 mm BM-37 Mortar + Crew (x2) (mod. JK169);;Mortar Infantry;WW2 USSR (Soviet Union);;Obsolete
